cycle,state,modeldate,candidate_name,pct_estimate
1980,Pennsylvania,1980-11-04,John B. Anderson,12.198041
1980,Pennsylvania,1980-11-04,Ronald Reagan,38.62204
1980,Rhode Island,1980-11-04,Jimmy Carter,35.264207
1980,Rhode Island,1980-11-04,John B. Anderson,21.825193
1980,Rhode Island,1980-11-04,Ronald Reagan,24.685584
1980,South Carolina,1980-11-04,Jimmy Carter,43.700094
1980,South Carolina,1980-11-04,John B. Anderson,1.0305841
1980,South Carolina,1980-11-04,Ronald Reagan,40.619149
1980,South Dakota,1980-11-04,Jimmy Carter,17.450183
1980,South Dakota,1980-11-04,John B. Anderson,6.1687682
1980,South Dakota,1980-11-04,Ronald Reagan,35.044928
1980,Tennessee,1980-11-04,Jimmy Carter,51.268399
1980,Tennessee,1980-11-04,John B. Anderson,1.0305841
1980,Tennessee,1980-11-04,Ronald Reagan,41.91645
1980,Texas,1980-11-04,Jimmy Carter,38.029731
1980,Texas,1980-11-04,John B. Anderson,7.2277221
1980,Texas,1980-11-04,Ronald Reagan,41.805354
1980,Virginia,1980-11-04,Jimmy Carter,29.742939
1980,Virginia,1980-11-04,John B. Anderson,6.3687901
1980,Virginia,1980-11-04,Ronald Reagan,42.344475
1980,Washington,1980-11-04,Jimmy Carter,32.373094
1980,Washington,1980-11-04,John B. Anderson,12.944031
1980,Washington,1980-11-04,Ronald Reagan,40.568063
1980,West Virginia,1980-11-04,Jimmy Carter,40.200027
1980,West Virginia,1980-11-04,John B. Anderson,5.684604
1980,West Virginia,1980-11-04,Ronald Reagan,28.887504
1980,Wisconsin,1980-11-04,Jimmy Carter,31.524793
1980,Wisconsin,1980-11-04,John B. Anderson,19.679602
1980,Wisconsin,1980-11-04,Ronald Reagan,34.444667
1984,Alabama,1984-11-06,Ronald Reagan,57.058659
1984,Alabama,1984-11-06,Walter F. Mondale,35.034674
1984,California,1984-11-06,Ronald Reagan,55.258525
1984,California,1984-11-06,Walter F. Mondale,38.947686
1984,Colorado,1984-11-06,Ronald Reagan,54.0
1984,Colorado,1984-11-06,Walter F. Mondale,31.0
1984,Connecticut,1984-11-06,Ronald Reagan,57.287666
1984,Connecticut,1984-11-06,Walter F. Mondale,30.695356
1984,Florida,1984-11-06,Ronald Reagan,61.855152
1984,Florida,1984-11-06,Walter F. Mondale,31.783757
1984,Illinois,1984-11-06,Ronald Reagan,52.219493
1984,Illinois,1984-11-06,Walter F. Mondale,39.675961
1984,Indiana,1984-11-06,Ronald Reagan,51.718104
1984,Indiana,1984-11-06,Walter F. Mondale,36.119087
1984,Iowa,1984-11-06,Ronald Reagan,51.880488
1984,Iowa,1984-11-06,Walter F. Mondale,39.460832
1984,Kansas,1984-11-06,Ronald Reagan,55.230548
1984,Kansas,1984-11-06,Walter F. Mondale,28.888068
1984,Kentucky,1984-11-06,Ronald Reagan,58.363156
1984,Kentucky,1984-11-06,Walter F. Mondale,33.065294
1984,Maryland,1984-11-06,Ronald Reagan,49.0
1984,Maryland,1984-11-06,Walter F. Mondale,36.0
1984,Massachusetts,1984-11-06,Ronald Reagan,48.877508
1984,Massachusetts,1984-11-06,Walter F. Mondale,44.119005
1984,Minnesota,1984-11-06,Ronald Reagan,44.691374
1984,Minnesota,1984-11-06,Walter F. Mondale,46.088834
1984,Missouri,1984-11-06,Ronald Reagan,54.514807
1984,Missouri,1984-11-06,Walter F. Mondale,37.749237
1984,National,1984-11-06,Ronald Reagan,56.92206
1984,National,1984-11-06,Walter F. Mondale,38.947609
1984,Nebraska,1984-11-06,Ronald Reagan,58.280248
1984,Nebraska,1984-11-06,Walter F. Mondale,26.931731
1984,New Hampshire,1984-11-06,Ronald Reagan,50.576813
1984,New Hampshire,1984-11-06,Walter F. Mondale,42.543725
1984,New Jersey,1984-11-06,Ronald Reagan,56.537236
1984,New Jersey,1984-11-06,Walter F. Mondale,32.496976
1984,New Mexico,1984-11-06,Ronald Reagan,59.213861
1984,New Mexico,1984-11-06,Walter F. Mondale,36.962649
1984,New York,1984-11-06,Ronald Reagan,49.923902
1984,New York,1984-11-06,Walter F. Mondale,38.551885
1984,North Carolina,1984-11-06,Ronald Reagan,62.250338
1984,North Carolina,1984-11-06,Walter F. Mondale,33.807644
1984,Ohio,1984-11-06,Ronald Reagan,58.117125
1984,Ohio,1984-11-06,Walter F. Mondale,39.468842
1984,Oregon,1984-11-06,Ronald Reagan,49.161356
1984,Oregon,1984-11-06,Walter F. Mondale,38.4373
1984,Pennsylvania,1984-11-06,Ronald Reagan,55.145954
1984,Pennsylvania,1984-11-06,Walter F. Mondale,40.310944
1984,Rhode Island,1984-11-06,Ronald Reagan,48.491938
1984,Rhode Island,1984-11-06,Walter F. Mondale,38.622482
1984,Texas,1984-11-06,Ronald Reagan,59.732967
1984,Texas,1984-11-06,Walter F. Mondale,33.363964
1984,Utah,1984-11-06,Ronald Reagan,70.58637
1984,Utah,1984-11-06,Walter F. Mondale,23.614176
1984,Virginia,1984-11-06,Ronald Reagan,59.0
1984,Virginia,1984-11-06,Walter F. Mondale,31.0
1984,Washington,1984-11-06,Ronald Reagan,48.308329
1984,Washington,1984-11-06,Walter F. Mondale,34.142811
1984,West Virginia,1984-11-06,Ronald Reagan,54.504172
1984,West Virginia,1984-11-06,Walter F. Mondale,44.393791
1984,Wisconsin,1984-11-06,Ronald Reagan,52.425154
1984,Wisconsin,1984-11-06,Walter F. Mondale,35.545034
1988,Alabama,1988-11-08,George Bush,55.479872
1988,Alabama,1988-11-08,Michael S. Dukakis,36.941321
1988,Alaska,1988-11-08,George Bush,51.51186
1988,Alaska,1988-11-08,Michael S. Dukakis,41.120967
1988,Arizona,1988-11-08,George Bush,53.228553
1988,Arizona,1988-11-08,Michael S. Dukakis,33.011637
1988,Arkansas,1988-11-08,George Bush,47.937855
1988,Arkansas,1988-11-08,Michael S. Dukakis,40.347879
1988,California,1988-11-08,George Bush,50.917622
1988,California,1988-11-08,Michael S. Dukakis,42.883798
1988,Colorado,1988-11-08,George Bush,45.44891
1988,Colorado,1988-11-08,Michael S. Dukakis,41.952605
1988,Connecticut,1988-11-08,George Bush,41.128338
1988,Connecticut,1988-11-08,Michael S. Dukakis,40.7113
