cycle,state,modeldate,candidate_name,pct_estimate,candidate_name_normalized
1980,Minnesota,1980-11-04,Ronald Reagan,31.707947,RONALD REAGAN
1980,Mississippi,1980-11-04,Jimmy Carter,35.870002,JIMMY CARTER
1980,Mississippi,1980-11-04,John B. Anderson,3.0375648,JOHN ANDERSON
1980,Mississippi,1980-11-04,Ronald Reagan,51.113478,RONALD REAGAN
1980,Missouri,1980-11-04,Jimmy Carter,37.222867,JIMMY CARTER
1980,Missouri,1980-11-04,John B. Anderson,11.317634,JOHN ANDERSON
1980,Missouri,1980-11-04,Ronald Reagan,40.180024,RONALD REAGAN
1980,National,1980-11-04,Jimmy Carter,41.83639,JIMMY CARTER
1980,National,1980-11-04,John B. Anderson,7.6771216,JOHN ANDERSON
1980,National,1980-11-04,Ronald Reagan,44.089588,RONALD REAGAN
1980,Nebraska,1980-11-04,Jimmy Carter,22.783342,JIMMY CARTER
1980,Nebraska,1980-11-04,Ronald Reagan,55.177087,RONALD REAGAN
1980,Nevada,1980-11-04,Jimmy Carter,22.783342,JIMMY CARTER
1980,Nevada,1980-11-04,John B. Anderson,11.676912,JOHN ANDERSON
1980,Nevada,1980-11-04,Ronald Reagan,43.166828,RONALD REAGAN
1980,New Hampshire,1980-11-04,Jimmy Carter,28.762486,JIMMY CARTER
1980,New Hampshire,1980-11-04,Ronald Reagan,43.166828,RONALD REAGAN
1980,New Jersey,1980-11-04,Jimmy Carter,33.844507,JIMMY CARTER
1980,New Jersey,1980-11-04,John B. Anderson,10.32598,JOHN ANDERSON
1980,New Jersey,1980-11-04,Ronald Reagan,38.923002,RONALD REAGAN
1980,New York,1980-11-04,Jimmy Carter,35.753233,JIMMY CARTER
1980,New York,1980-11-04,John B. Anderson,12.559089,JOHN ANDERSON
1980,New York,1980-11-04,Ronald Reagan,31.696163,RONALD REAGAN
1980,North Carolina,1980-11-04,Jimmy Carter,46.157558,JIMMY CARTER
1980,North Carolina,1980-11-04,John B. Anderson,3.7107758,JOHN ANDERSON
1980,North Carolina,1980-11-04,Ronald Reagan,39.144633,RONALD REAGAN
1980,North Dakota,1980-11-04,Jimmy Carter,23.779461,JIMMY CARTER
1980,North Dakota,1980-11-04,John B. Anderson,12.664977,JOHN ANDERSON
1980,North Dakota,1980-11-04,Ronald Reagan,49.182837,RONALD REAGAN
1980,Ohio,1980-11-04,Jimmy Carter,34.906983,JIMMY CARTER
1980,Ohio,1980-11-04,John B. Anderson,10.569149,JOHN ANDERSON
1980,Ohio,1980-11-04,Ronald Reagan,42.38897,RONALD REAGAN
1980,Oklahoma,1980-11-04,Jimmy Carter,38.739904,JIMMY CARTER
1980,Oklahoma,1980-11-04,John B. Anderson,8.715469,JOHN ANDERSON
1980,Oklahoma,1980-11-04,Ronald Reagan,53.181412,RONALD REAGAN
1980,Oregon,1980-11-04,Jimmy Carter,35.199058,JIMMY CARTER
1980,Oregon,1980-11-04,John B. Anderson,14.369421,JOHN ANDERSON
1980,Oregon,1980-11-04,Ronald Reagan,41.788269,RONALD REAGAN
1980,Pennsylvania,1980-11-04,Jimmy Carter,33.33068,JIMMY CARTER
1980,Pennsylvania,1980-11-04,John B. Anderson,12.198041,JOHN ANDERSON
1980,Pennsylvania,1980-11-04,Ronald Reagan,38.62204,RONALD REAGAN
1980,Rhode Island,1980-11-04,Jimmy Carter,35.264207,JIMMY CARTER
1980,Rhode Island,1980-11-04,John B. Anderson,21.825193,JOHN ANDERSON
1980,Rhode Island,1980-11-04,Ronald Reagan,24.685584,RONALD REAGAN
1980,South Carolina,1980-11-04,Jimmy Carter,43.700094,JIMMY CARTER
1980,South Carolina,1980-11-04,John B. Anderson,1.0305841,JOHN ANDERSON
1980,South Carolina,1980-11-04,Ronald Reagan,40.619149,RONALD REAGAN
1980,South Dakota,1980-11-04,Jimmy Carter,17.450183,JIMMY CARTER
1980,South Dakota,1980-11-04,John B. Anderson,6.1687682,JOHN ANDERSON
1980,South Dakota,1980-11-04,Ronald Reagan,35.044928,RONALD REAGAN
1980,Tennessee,1980-11-04,Jimmy Carter,51.268399,JIMMY CARTER
1980,Tennessee,1980-11-04,John B. Anderson,1.0305841,JOHN ANDERSON
1980,Tennessee,1980-11-04,Ronald Reagan,41.91645,RONALD REAGAN
1980,Texas,1980-11-04,Jimmy Carter,38.029731,JIMMY CARTER
1980,Texas,1980-11-04,John B. Anderson,7.2277221,JOHN ANDERSON
1980,Texas,1980-11-04,Ronald Reagan,41.805354,RONALD REAGAN
1980,Virginia,1980-11-04,Jimmy Carter,29.742939,JIMMY CARTER
1980,Virginia,1980-11-04,John B. Anderson,6.3687901,JOHN ANDERSON
1980,Virginia,1980-11-04,Ronald Reagan,42.344475,RONALD REAGAN
1980,Washington,1980-11-04,Jimmy Carter,32.373094,JIMMY CARTER
1980,Washington,1980-11-04,John B. Anderson,12.944031,JOHN ANDERSON
1980,Washington,1980-11-04,Ronald Reagan,40.568063,RONALD REAGAN
1980,West Virginia,1980-11-04,Jimmy Carter,40.200027,JIMMY CARTER
1980,West Virginia,1980-11-04,John B. Anderson,5.684604,JOHN ANDERSON
1980,West Virginia,1980-11-04,Ronald Reagan,28.887504,RONALD REAGAN
1980,Wisconsin,1980-11-04,Jimmy Carter,31.524793,JIMMY CARTER
1980,Wisconsin,1980-11-04,John B. Anderson,19.679602,JOHN ANDERSON
1980,Wisconsin,1980-11-04,Ronald Reagan,34.444667,RONALD REAGAN
1984,Alabama,1984-11-06,Ronald Reagan,57.058659,RONALD REAGAN
